Name with Owner,Created Timestamp,Updated Timestamp,Stars Count,Language,Rating
jheuer/wase_contest,2009-11-16 01:32:46 UTC,2012-12-13 14:12:56 UTC,1,Ruby,0.33
av75ro/test-prj,2010-06-24 21:16:35 UTC,2012-12-14 19:24:31 UTC,1,,0.33
cbbrowne/go-pgsql,2010-11-22 22:55:24 UTC,2012-12-16 00:26:15 UTC,1,Go,0.34
forgotten-labors/wallet,2011-12-23 02:10:27 UTC,2013-01-04 23:06:14 UTC,1,Ruby,0.34
repos-go/twister,2012-05-26 01:51:03 UTC,2013-01-09 08:49:40 UTC,1,Go,0.35
openlogic/newrelic_api,2011-10-18 22:43:47 UTC,2013-01-04 11:31:59 UTC,1,Ruby,0.35
dpaola2/Arrrrdio,2012-02-20 22:30:20 UTC,2013-01-07 22:48:02 UTC,1,JavaScript,0.36
featurist/node-js-7digital-shared-playlists,2012-04-23 08:59:53 UTC,2013-01-08 20:58:27 UTC,1,JavaScript,0.36
astrails/Bootstrap-Image-Gallery,2012-03-29 13:16:32 UTC,2013-01-08 11:20:44 UTC,1,JavaScript,0.37
krautcomputing/zocial,2012-07-03 20:37:25 UTC,2013-01-10 23:15:41 UTC,1,Ruby,0.37
fmstephe/eventsource,2012-11-03 23:36:03 UTC,2013-01-12 23:20:12 UTC,0,Go,0.38
gonuts/go-shellquote,2012-12-05 20:59:33 UTC,2013-01-13 12:41:24 UTC,0,Go,0.38
GrumpyWizards/Adventurous,2015-01-29 09:26:45 UTC,2015-05-08 15:41:18 UTC,0,JavaScript,0.39
bendyworks/ruby-ole,2010-03-08 22:32:33 UTC,2012-12-14 02:07:00 UTC,1,D,0.39
goodybag/node-transloadit,2012-01-31 20:03:35 UTC,2013-01-07 07:21:26 UTC,1,JavaScript,0.4
otupman/driftwood.js,2013-02-26 15:10:40 UTC,2013-02-26 15:20:12 UTC,0,JavaScript,0.4
LoudDoor/github-trello,2012-05-15 15:58:55 UTC,2013-01-09 04:48:30 UTC,1,Ruby,0.41
cleitonfco/hackernews-button,2012-04-19 13:33:41 UTC,2013-01-08 19:36:12 UTC,1,Go,0.41
dcosson/golog,2012-10-08 21:44:05 UTC,2013-01-12 14:14:07 UTC,0,Go,0.42
gonuts/goblin,2013-01-27 09:22:24 UTC,2013-01-27 09:22:24 UTC,0,Go,0.42
andradeandrey/autohttperf,2011-12-03 13:04:12 UTC,2013-01-04 19:12:33 UTC,1,Go,0.43
amco/tap_out,2011-12-22 21:09:47 UTC,2013-01-04 23:03:56 UTC,1,Ruby,0.43
mss/javafuse,2015-03-17 17:33:19 UTC,2015-03-17 18:30:44 UTC,0,C,0.44
mrosset/termbox-go,2012-03-22 01:22:18 UTC,2013-01-08 08:10:09 UTC,1,Go,0.44
dcasciotti/demo,2010-12-05 18:09:09 UTC,2012-12-16 01:42:42 UTC,1,Ruby,0.45
Wolg/dj-skeletor,2012-06-04 03:51:49 UTC,2013-01-09 12:13:42 UTC,1,Python,0.45
ebrpol/GitHubTest,2012-12-28 00:28:25 UTC,2013-01-13 20:39:57 UTC,0,,0.46
okulbilisim/sipml5,2015-03-30 06:26:32 UTC,2017-07-22 08:36:37 UTC,0,JavaScript,0.46
Greplin/qc,2012-10-13 22:20:31 UTC,2013-01-12 16:08:25 UTC,0,Python,0.47
fanweixiao/spdy,2012-07-16 04:00:04 UTC,2013-01-11 05:43:55 UTC,1,Ruby,0.47
tricknotes/chanko,2011-12-21 08:21:30 UTC,2013-01-04 22:46:00 UTC,2,Ruby,0.48
logan/tallier,2013-03-21 22:57:17 UTC,2013-05-08 18:35:23 UTC,0,Go,0.48
